Order_ID,Customer_ID,Order_Date,Day,Month,Order_Time,Store_ID,Store_Location,Region,Product_Category,Product_Name,Size,Quantity,Unit_Price,Discount_%,Gross_Sales,GST_5%,Net_Sales,Payment_Method,Order_Type,Customer_Age_Group,Customer_Gender,Weather,Day_Type,Shift,Customer_Type,Loyalty_Member,Rating,Demand_Level
1,CUST6991,07-02-2025,Friday,February,18:17,118,Bengaluru,South,Cold Beverage,Cold Brew,Tall,2,295,0,590,29.5,619.5,UPI,Dine-In,18-25,Male,Rainy,Weekday,Afternoon,New,Yes,3,High
2,CUST2013,25-04-2025,Friday,April,21:31,118,Kochi,South,Frappuccino,Caramel Frappuccino,Venti,1,376,0,376,18.8,394.8,Card,Dine-In,26-35,Male,Cloudy,Weekday,Morning,Returning,No,3,High
3,CUST4078,22-02-2025,Saturday,February,19:51,111,Hyderabad,South,Coffee,Cappuccino,Tall,5,259,5,1295,64.75,1295,UPI,Delivery,18-25,Male,Cloudy,Weekend,Morning,Returning,No,4,Medium
4,CUST4999,08-05-2025,Thursday,May,06:08,102,Kochi,South,Bakery,Butter Croissant,Venti,4,163,10,652,32.6,619.4,Card,Delivery,50+,Female,Cloudy,Weekday,Afternoon,Returning,Yes,3,High
5,CUST2271,08-09-2025,Monday,September,14:23,117,Bengaluru,South,Frappuccino,Caramel Frappuccino,Venti,2,361,5,722,36.1,722,Card,Takeaway,36-50,Female,Cloudy,Weekday,Afternoon,New,Yes,4,Medium
6,CUST8301,28-11-2025,Friday,November,19:43,109,Kochi,South,Coffee,Cappuccino,Venti,1,284,10,284,14.2,269.8,Card,Delivery,36-50,Male,Rainy,Weekday,Afternoon,New,Yes,4,Low
7,CUST2320,23-07-2025,Wednesday,July,13:20,105,Chennai,South,Coffee,Mocha,Grande,3,288,5,864,43.2,864,Card,Delivery,36-50,Male,Rainy,Weekday,Evening,Returning,No,4,High
8,CUST4822,01-04-2025,Tuesday,April,05:09,100,Mumbai,West,Frappuccino,Caramel Frappuccino,Grande,2,349,0,698,34.9,732.9,UPI,Dine-In,36-50,Female,Sunny,Weekday,Morning,Returning,No,5,High
9,CUST7428,22-08-2025,Friday,August,23:13,112,Hyderabad,South,Cold Beverage,Cold Brew,Grande,2,314,0,628,31.4,659.4,Card,Dine-In,50+,Female,Sunny,Weekday,Morning,New,Yes,4,Low
10,CUST3478,22-02-2025,Saturday,February,00:00,117,Hyderabad,South,Coffee,Cappuccino,Tall,3,278,0,834,41.7,875.7,Card,Delivery,18-25,Male,Sunny,Weekend,Evening,Returning,Yes,5,Medium
11,CUST8634,04-03-2025,Tuesday,March,03:56,115,Chennai,South,Cold Beverage,Cold Brew,Grande,5,293,15,1465,73.25,1318.5,Card,Dine-In,26-35,Male,Cloudy,Weekday,Afternoon,Returning,No,5,Low
12,CUST1443,17-03-2025,Monday,March,23:33,116,Hyderabad,South,Bakery,Blueberry Muffin,Grande,1,163,10,163,8.15,154.85,UPI,Dine-In,36-50,Female,Sunny,Weekday,Afternoon,New,No,5,Low
13,CUST9073,27-04-2025,Sunday,April,06:49,111,Hyderabad,South,Bakery,Butter Croissant,Venti,2,155,15,310,15.5,279,Cash,Dine-In,36-50,Female,Rainy,Weekend,Morning,Returning,No,5,Medium
14,CUST6533,27-04-2025,Sunday,April,16:02,106,Mumbai,West,Cold Beverage,Cold Brew,Grande,1,284,0,284,14.2,298.2,UPI,Delivery,18-25,Female,Cloudy,Weekend,Afternoon,New,Yes,4,High
15,CUST7485,22-11-2025,Saturday,November,11:20,114,Bengaluru,South,Coffee,Mocha,Grande,4,291,15,1164,58.2,1047.6,UPI,Dine-In,26-35,Male,Sunny,Weekend,Morning,New,No,5,Low
16,CUST3146,21-03-2025,Friday,March,18:43,100,Hyderabad,South,Bakery,Butter Croissant,Tall,5,170,10,850,42.5,807.5,UPI,Delivery,18-25,Male,Rainy,Weekday,Morning,New,Yes,4,Low
17,CUST3147,13-05-2025,Tuesday,May,18:34,101,Chennai,South,Coffee,Espresso,Venti,5,175,10,875,43.75,831.25,Card,Takeaway,50+,Male,Cloudy,Weekday,Morning,New,No,3,High
18,CUST2971,31-08-2025,Sunday,August,21:07,117,Kochi,South,Coffee,Caffe Latte,Tall,2,271,5,542,27.1,542,Card,Delivery,50+,Male,Cloudy,Weekend,Morning,New,Yes,4,Low
